# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 51.828, 13.092 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "51.82817337823559", "lon": "13.092313555419029", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "39", "azim": "180", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,0
2019-01-01 08:00,2019-01-01 09:00,1.611
2019-01-01 09:00,2019-01-01 10:00,2.891
2019-01-01 10:00,2019-01-01 11:00,10.746
2019-01-01 11:00,2019-01-01 12:00,46.765
2019-01-01 12:00,2019-01-01 13:00,81.187
2019-01-01 13:00,2019-01-01 14:00,81.927
2019-01-01 14:00,2019-01-01 15:00,17.851
2019-01-01 15:00,2019-01-01 16:00,0
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,1.965
2019-01-02 08:00,2019-01-02 09:00,29.183
2019-01-02 09:00,2019-01-02 10:00,85.632
2019-01-02 10:00,2019-01-02 11:00,245.987
2019-01-02 11:00,2019-01-02 12:00,367.513
2019-01-02 12:00,2019-01-02 13:00,423.536
2019-01-02 13:00,2019-01-02 14:00,297.333
2019-01-02 14:00,2019-01-02 15:00,59.283
2019-01-02 15:00,2019-01-02 16:00,0
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,8.971
2019-01-03 08:00,2019-01-03 09:00,77.232
2019-01-03 09:00,2019-01-03 10:00,117.221
2019-01-03 10:00,2019-01-03 11:00,131.446
2019-01-03 11:00,2019-01-03 12:00,103.881
2019-01-03 12:00,2019-01-03 13:00,65.904
2019-01-03 13:00,2019-01-03 14:00,48.755
2019-01-03 14:00,2019-01-03 15:00,11.513
2019-01-03 15:00,2019-01-03 16:00,0
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,0
2019-01-04 08:00,2019-01-04 09:00,5.799
2019-01-04 09:00,2019-01-04 10:00,5.985
2019-01-04 10:00,2019-01-04 11:00,6.014
2019-01-04 11:00,2019-01-04 12:00,5.716
2019-01-04 12:00,2019-01-04 13:00,7.050
2019-01-04 13:00,2019-01-04 14:00,6.038
2019-01-04 14:00,2019-01-04 15:00,0
2019-01-04 15:00,2019-01-04 16:00,0
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,0
2019-01-05 08:00,2019-01-05 09:00,7.998
2019-01-05 09:00,2019-01-05 10:00,34.905
2019-01-05 10:00,2019-01-05 11:00,65.210
2019-01-05 11:00,2019-01-05 12:00,78.104
2019-01-05 12:00,2019-01-05 13:00,89.204
2019-01-05 13:00,2019-01-05 14:00,60.707
2019-01-05 14:00,2019-01-05 15:00,11.726
2019-01-05 15:00,2019-01-05 16:00,0
