# Renewables.ninja Wind power (Point API) - 54.458, 5.625 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Etc/GMT, electricity in kW
# {"units": {"time": "UTC", "local_time": "Etc/GMT", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "54.45760318728629", "lon": "5.624649655229853", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "height": "100", "turbine": "Vestas V90 3000", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 00:00,972.635
2019-01-01 01:00,2019-01-01 01:00,975.977
2019-01-01 02:00,2019-01-01 02:00,976.696
2019-01-01 03:00,2019-01-01 03:00,975.664
2019-01-01 04:00,2019-01-01 04:00,980.033
2019-01-01 05:00,2019-01-01 05:00,980.184
2019-01-01 06:00,2019-01-01 06:00,980.520
2019-01-01 07:00,2019-01-01 07:00,980.465
2019-01-01 08:00,2019-01-01 08:00,980.429
2019-01-01 09:00,2019-01-01 09:00,978.174
2019-01-01 10:00,2019-01-01 10:00,968.334
2019-01-01 11:00,2019-01-01 11:00,946.551
2019-01-01 12:00,2019-01-01 12:00,909.487
2019-01-01 13:00,2019-01-01 13:00,877.104
2019-01-01 14:00,2019-01-01 14:00,859.655
2019-01-01 15:00,2019-01-01 15:00,846.313
2019-01-01 16:00,2019-01-01 16:00,869.538
2019-01-01 17:00,2019-01-01 17:00,897.116
2019-01-01 18:00,2019-01-01 18:00,912.249
2019-01-01 19:00,2019-01-01 19:00,908.496
2019-01-01 20:00,2019-01-01 20:00,906.700
2019-01-01 21:00,2019-01-01 21:00,920.235
2019-01-01 22:00,2019-01-01 22:00,938.988
2019-01-01 23:00,2019-01-01 23:00,950.673
2019-01-02 00:00,2019-01-02 00:00,955.798
2019-01-02 01:00,2019-01-02 01:00,960.048
2019-01-02 02:00,2019-01-02 02:00,965.713
2019-01-02 03:00,2019-01-02 03:00,974.869
2019-01-02 04:00,2019-01-02 04:00,980.292
2019-01-02 05:00,2019-01-02 05:00,978.388
2019-01-02 06:00,2019-01-02 06:00,967.327
2019-01-02 07:00,2019-01-02 07:00,947.548
2019-01-02 08:00,2019-01-02 08:00,919.250
2019-01-02 09:00,2019-01-02 09:00,884.889
2019-01-02 10:00,2019-01-02 10:00,848.513
2019-01-02 11:00,2019-01-02 11:00,821.872
2019-01-02 12:00,2019-01-02 12:00,808.673
2019-01-02 13:00,2019-01-02 13:00,806.997
2019-01-02 14:00,2019-01-02 14:00,802.466
2019-01-02 15:00,2019-01-02 15:00,786.472
2019-01-02 16:00,2019-01-02 16:00,757.359
2019-01-02 17:00,2019-01-02 17:00,717.676
2019-01-02 18:00,2019-01-02 18:00,683.835
2019-01-02 19:00,2019-01-02 19:00,660.211
2019-01-02 20:00,2019-01-02 20:00,656.131
2019-01-02 21:00,2019-01-02 21:00,668.145
2019-01-02 22:00,2019-01-02 22:00,687.380
2019-01-02 23:00,2019-01-02 23:00,697.887
2019-01-03 00:00,2019-01-03 00:00,709.742
2019-01-03 01:00,2019-01-03 01:00,711.189
2019-01-03 02:00,2019-01-03 02:00,702.808
2019-01-03 03:00,2019-01-03 03:00,700.012
2019-01-03 04:00,2019-01-03 04:00,707.647
2019-01-03 05:00,2019-01-03 05:00,710.108
2019-01-03 06:00,2019-01-03 06:00,697.763
2019-01-03 07:00,2019-01-03 07:00,673.763
2019-01-03 08:00,2019-01-03 08:00,635.530
2019-01-03 09:00,2019-01-03 09:00,590.168
2019-01-03 10:00,2019-01-03 10:00,545.167
2019-01-03 11:00,2019-01-03 11:00,502.659
2019-01-03 12:00,2019-01-03 12:00,472.809
2019-01-03 13:00,2019-01-03 13:00,458.283
2019-01-03 14:00,2019-01-03 14:00,451.289
2019-01-03 15:00,2019-01-03 15:00,440.378
2019-01-03 16:00,2019-01-03 16:00,402.037
2019-01-03 17:00,2019-01-03 17:00,311.770
2019-01-03 18:00,2019-01-03 18:00,267.663
2019-01-03 19:00,2019-01-03 19:00,332.228
2019-01-03 20:00,2019-01-03 20:00,429.795
2019-01-03 21:00,2019-01-03 21:00,468.038
2019-01-03 22:00,2019-01-03 22:00,473.252
2019-01-03 23:00,2019-01-03 23:00,514.658
2019-01-04 00:00,2019-01-04 00:00,586.163
2019-01-04 01:00,2019-01-04 01:00,638.128
2019-01-04 02:00,2019-01-04 02:00,679.664
