,inf,500,200,100
0.0,0.0,0.0,0.0,0.0
200.0,-10.886578746630446,-10.795705338798543,-9.67480600241608,-10.318323193839419
400.0,-25.029397823548628,-19.82942322583315,-20.636646387678837,-19.005452661640053
600.0,-38.39205305845586,-29.262406548892283,-29.761035315825502,-26.374625827309718
800.0,-51.189404077941134,-46.36585345665031,-38.010905323280106,-27.930621943691918
1000.0,-63.986755097426425,-57.37762788745461,-51.940039546903364,-42.113611094270354
1200.0,-116.00101478255749,-69.35097279488244,-60.68212517091383,-51.931291178494014
1400.0,-140.4404301650188,-79.72205545879086,-67.94903756019963,-55.41887347775092
1600.0,-160.50334876002145,-88.33756479244468,-73.34443084031216,-55.32229381879051
1800.0,-180.56626735502414,-96.95307412609847,-79.67331499423392,-60.15732334622007
2000.0,-200.62918595002682,-106.66497720458891,-88.76012940722623,-58.15959760183512
